기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,합계
2011/02,40.02402006,62.10880262,106.92454609,63.92288815,179.06441964,131.6897421,165.84101495,120.3490929,,121.7424794,132.3397472,141.159599,126.0941339,121.3467134,77.8839994,103.2446607,1155.85274725,76.0528439
2011/01,46.92417148,68.37197899,112.31106878,70.03772641,182.33296011,135.54013891,185.53798912,130.3821251,,138.9382994,140.8264117,155.5247219,128.996011,130.6638138,78.3401912,110.085665,1993.40307755,88.41403711
2010/12,33.97723862,59.80640454,108.29889722,61.57347272,170.30561478,129.3402477,211.25799157,128.6103248,,140.3231303,135.5832396,157.6446363,148.1651189,130.220641,67.4305288,103.9788352,1242.76373979,75.84499134
2010/11,29.26259787,57.27541622,95.93613522,58.90608925,198.61238316,114.03823681,166.55497887,104.3846509,,108.0464007,112.3329785,122.0837707,100.5539685,104.3180374,73.553018,96.9158817,746.10252591,63.8922045
2010/10,30.3797222,59.14521433,99.68110539,60.99903572,219.22528954,122.84693157,175.12323556,110.3511194,,116.0977204,123.4540328,127.1044161,110.2756615,110.7688787,71.5654267,103.1956129,748.84775468,65.04955257
2010/09,30.67390224,58.14099081,105.38949871,60.02034677,199.14841711,132.51357904,172.05318595,109.6735496,,124.6202202,119.5852802,125.7837814,126.647547,111.5127889,70.0194969,111.2624528,872.79547018,68.78939747
2010/08,34.82591795,62.76603025,107.43444637,64.60381881,213.91336826,145.30868308,204.47561227,115.4826262,,134.2880791,115.5768078,137.3211373,130.1923569,114.9861897,72.6434587,115.530605,13851.03397341,74.63690512
2010/07,46.36721903,63.03584313,114.44095229,65.17872893,211.28555012,141.02078435,235.00036681,109.9652446,,130.6085432,116.5780708,136.9000221,121.2854525,111.0882934,68.1559105,109.8636445,947.0655291,76.85562512
2010/06,42.95397259,61.01557774,109.22304801,62.76187102,184.55526038,131.17457872,218.26800326,111.4168367,,126.1484927,119.31321,132.0507601,107.9626461,113.2808725,72.3093246,113.4267026,656.98398028,72.69658053
2010/05,43.74300233,60.87248609,110.70421972,62.82492414,181.4910398,127.72523094,188.47371788,114.2278037,,118.9239322,120.7997098,128.2526364,0,114.5632891,74.8074123,112.7723427,801.47834369,71.69517292
2010/04,43.8520527,57.74141419,110.97902223,60.15974537,180.61835951,120.08556533,192.11715248,114.3158516,,121.3266572,121.8776216,128.11911,124.0118423,114.5549329,61.484684,107.375461,1613.07485733,72.92743523
2010/03,45.62131436,60.79513391,117.85959217,62.89001128,174.42496362,121.9243146,199.32019047,118.9769797,,130.187434,129.935726,139.0873847,117.6916815,118.3870143,56.3121283,110.1360154,1418.08577086,76.48120042
2010/02,44.53809197,62.2122564,119.40161607,64.42516491,173.44953667,126.05941265,210.68994828,116.6434508,,127.7871685,133.565343,144.0883209,147.8435673,117.4540918,42.7900726,106.6864883,1367.36273185,75.81448698
2010/01,49.31563138,65.72964173,123.52400411,67.91622313,169.40433153,130.63629225,250.14629267,120.1220651,,129.0480443,127.6960649,152.2358975,0,120.4317687,42.3279706,117.7933454,1389.74709803,80.59454229
2009/12,43.93302919,61.0908403,112.86248938,63.22795973,152.07073866,121.84886292,192.38541144,115.8707977,,120.3572371,116.4213668,137.0590856,124.8998397,115.6348251,16.2741316,104.1724417,2084.2175038,73.57679595
2009/11,40.38732999,59.92850884,101.50901204,61.57130941,160.98519582,117.00136722,198.91601699,103.180568,,108.4637191,103.2735945,121.4457983,118.5844371,103.4897592,7.7745868,88.9763146,1748.35931328,68.14659318
2009/10,33.38070712,54.14613831,88.8842904,55.21925681,272.71898751,108.38624412,143.08977309,80.6582892,,84.5891579,80.3311274,101.203976,93.75,80.2849827,7.8827487,75.8967511,949.42190419,56.83586926
2009/09,32.13557818,54.64163763,83.66021957,55.63427025,221.01350538,98.00132212,133.95073788,78.1559873,,85.6569223,78.2285215,95.7364692,0,78.4801649,6.9493171,77.1104783,870.33635131,56.87790527
