기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,배출권거래비용정산금,전력시장_계,PPA_계,전력시장+PPA_계
2021/02,8709.25583305,12739.867811059998,116.37903133,12856.246842389997,323.51853221,14194.758000160002,385.02306434999997,247.48635157000007,132.67646414,339.8248140600005,300.0334648800001,156.61523458000002,26.26128374,456.78395901999994,0,1659.6815719900007,204.0916,0,38332.57545649001,908.667,39241.242456490014
2021/01,9705.57866825,15525.016910159993,177.18977303,15702.206683189994,585.36348142,17885.323566470008,471.29063437,252.76174500000005,133.60196559,242.8089522199997,271.61512008,176.58481808999997,27.9200457,492.0581300400001,0,1597.3507767199999,213.2544,0,46160.36821841,655.485,46815.853218410004
2020/12,10464.187056640001,12670.035727940003,166.43958288000002,12836.475310820004,662.1737180499999,15996.95692618,371.35056377999996,235.49585708000004,132.15042998,232.23561432999944,274.2047184900001,164.25701525999997,24.872848489999996,462.36682479,0,1525.5833084199996,184.4151,0,42041.14200414,,42041.14200414
2020/11,6827.712917599999,8136.680908610004,138.55467803,8275.235586640003,529.75977707,8342.879675540002,176.06204951,165.39726969,94.41921357,181.24465910999996,164.75412881000003,120.05916628999998,18.07648945,340.1768978,0,1084.1278247199998,95.9392,0,25331.71703238,,25331.71703238
2020/10,6393.96492079,7846.407833060003,9.5613267,7855.969159760003,251.11679697000002,6981.98765909,160.71639402,167.39504732,95.8166078,252.44540396000045,122.18234186999995,127.45646570000001,20.729234540000004,330.19972212999994,0,1116.2248233200005,150.0191,0,22909.998873420005,,22909.998873420005
2020/09,5074.86909936,11464.124212229995,25.41642092,11489.540633149996,886.5210552599998,8850.032023929994,218.34247087999995,175.51071333999997,95.54328334,244.75744735999982,112.71068156999999,398.94713720999994,22.12068131,497.7583804599999,0,1547.3483245899997,494.9602,0,28561.613795839992,,28561.613795839992
2020/08,8314.87727936,15418.652270359999,117.87011715,15536.522387509998,408.07139513000004,13217.939597979997,342.42298129000005,194.11972832000004,88.08507877,292.4446096,171.63668239000003,595.3559681700004,22.91098633,564.1531991599999,0,1928.7062527400003,644.2955,0,40392.83548038999,,40392.83548038999
2020/07,10004.669290240001,15949.529271609998,203.68724114999998,16153.216512759998,197.59017790000004,12760.881011880003,333.84289364999995,208.30340209000005,48.19915172,285.1626592499998,116.31461061000006,329.74943290999994,24.95195689,450.61779219000005,0,1463.29900566,719.4531,0,41632.95201507001,,41632.95201507001
2020/06,8242.801722330001,12510.066619990002,170.79014336,12680.856763350002,101.30479898000002,9251.386914559998,240.94322337999998,192.50549175000006,0,365.48375814999935,114.49184815999998,238.85651964999994,23.64424619,343.13105036,0,1278.1129142599993,758.0901,0,32553.496377260002,,32553.496377260002
2020/05,6761.643455989999,11004.67109962,133.39920451,11138.07030413,64.31863414,7309.778538040001,281.33287669000003,200.89020692999995,53.64693327,367.8761526600002,163.25928889000005,215.4552896800002,25.74103651,398.2004276,0,1425.06933554,546.1637,1301.0417735400001,28827.418579709993,,28827.418579709993
